"key";"form";"instruction";"en";"nl";"af";"sq";"am";"ar";"hy";"as";"az";"eu";"bn";"my";"bs";"bg";"ca";"zh";"da";"de";"et";"fo";"fi";"fr";"gl";"ka";"el";"gu";"he";"hi";"hu";"ga";"is";"id";"it";"ja";"kn";"kk";"km";"ko";"hr";"lo";"lv";"lt";"mk";"ms";"ml";"mr";"mn";"ne";"no";"uk";"or";"ug";"uz";"fa";"pl";"pt";"pa";"ro";"ru";"sr";"si";"sk";"sl";"es";"sw";"ta";"te";"th";"bo";"cs";"tr";"ur";"vi";"cy";"be";"zu";"sv"
"game.end.playAgain";"";"On the end-of-level card: a title, or a button under it. Aim for 22 characters or fewer.";"Play again";"Nog een keer";"Speel weer";"Luaj përsëri";"እንደገና ተጫወት";"العب مجددًا";"Կրկին խաղալ";"আকৌ খেলা";"Yenidən oyna";"Jokatu berriro";"আবার খেলো";"ထပ်ကစား";"Igraj ponovo";"Играй пак";"Torna-hi";"再玩一次";"Spil igen";"Noch einmal";"Mängi uuesti";"Spæl aftur";"Pelaa uudelleen";"Rejouer";"Xogar de novo";"კიდევ ითამაშე";"Παίξε ξανά";"ફરી રમો";"לשחק שוב";"फिर खेलें";"Újra";"Imir arís";"Spila aftur";"Main lagi";"Gioca ancora";"もう一度";"ಮತ್ತೆ ಆಡು";"Қайта ойнау";"លេងម្តងទៀត";"다시 하기";"Igraj ponovno";"ຫຼິ້ນອີກ";"Spēlēt vēlreiz";"Žaisti dar kartą";"Играј пак";"Main lagi";"വീണ്ടും കളിക്കൂ";"पुन्हा खेळ";"Дахин тоглох";"फेरि खेल";"Spill igjen";"Ще раз";"ପୁଣି ଖେଳ";"قايتا ئوينا";"Yana o‘yna";"دوباره بازی کن";"Zagraj ponownie";"Jogar de novo";"ਫਿਰ ਖੇਡੋ";"Joacă din nou";"Ещё раз";"Igraj ponovo";"නැවත ක්‍රීඩා කරන්න";"Hrať znova";"Igraj znova";"Jugar otra vez";"Cheza tena";"மீண்டும் ஆடு";"మళ్లీ ఆడు";"เล่นอีกครั้ง";"ཡང་བསྐྱར་རྩེ";"Hrát znovu";"Tekrar oyna";"پھر کھیلیں";"Chơi lại";"Chwarae eto";"Яшчэ раз";"Dlala futhi";"Spela igen"
"game.highScore";"";"Shown over the game board while playing. Aim for 22 characters or fewer.";"Record";"Record";"Toptelling";"Rekordi";"ከፍተኛ ውጤት";"أعلى نتيجة";"Լավագույն հաշիվ";"সৰ্বোচ্চ স্ক’ৰ";"Rekord";"Errekorra";"সেরা স্কোর";"အမြင့်ဆုံးအမှတ်";"Rekord";"Рекорд";"Rècord";"最高分";"Topscore";"Bestleistung";"Rekord";"Met";"Ennätys";"Meilleur score";"Récord";"საუკეთესო ქულა";"Ρεκόρ";"ઉચ્ચ સ્કોર";"שיא";"सर्वोच्च स्कोर";"Rekord";"Scór is airde";"Met";"Rekor";"Record";"ハイスコア";"ಅತ್ಯುತ್ತಮ ಅಂಕ";"Үздік ұпай";"ពិន្ទុខ្ពស់";"최고 점수";"Rekord";"ຄະແນນສູງສຸດ";"Rekords";"Rekordas";"Рекорд";"Rekod";"മികച്ച സ്കോർ";"सर्वोच्च गुण";"Дээд оноо";"उच्च स्कोर";"Rekord";"Рекорд";"ସର୍ବୋଚ୍ଚ ସ୍କୋର";"ئەڭ يۇقىرى نومۇر";"Rekord";"رکورد";"Rekord";"Recorde";"ਸਭ ਤੋਂ ਵੱਧ ਸਕੋਰ";"Record";"Рекорд";"Rekord";"ඉහළම ලකුණු";"Rekord";"Rekord";"Récord";"Rekodi bora";"அதிகபட்ச மதிப்பெண்";"అత్యధిక స్కోరు";"คะแนนสูงสุด";"སྐར་མ་མཐོ་ཤོས";"Rekord";"Rekor";"بہترین اسکور";"Điểm cao";"Sgôr uchaf";"Рэкорд";"Irekhodi";"Rekord"
"game.intro.backToMainMenu";"";"The level-intro card. Titles are set in a large heavy face and shrink rather than wrap, so short is better. Aim for 32 characters or fewer.";"Back to the main menu";"Terug naar het hoofdmenu";"Terug na hoofkieslys";"Kthehu te menyja kryesore";"ወደ ዋና ምናሌ ተመለስ";"العودة للقائمة الرئيسية";"Դեպի գլխավոր ընտրացանկ";"মূল মেনুলৈ উভতি যাওক";"Əsas menyuya qayıt";"Menu nagusira";"মূল মেনুতে ফেরো";"ပင်မမီနူးသို့ ပြန်ရန်";"Natrag na glavni meni";"Към главното меню";"Torna al menú principal";"返回主菜单";"Tilbage til hovedmenuen";"Zurück zum Hauptmenü";"Tagasi peamenüüsse";"Aftur til høvuðsvalmynd";"Takaisin päävalikkoon";"Retour au menu principal";"Volver ao menú principal";"მთავარ მენიუში დაბრუნება";"Πίσω στο κύριο μενού";"મુખ્ય મેનુ પર પાછા";"חזרה לתפריט הראשי";"मुख्य मेन्यू पर वापस";"Vissza a főmenübe";"Ar ais chuig an bpríomh-roghchlár";"Til baka í aðalvalmynd";"Kembali ke menu utama";"Torna al menu principale";"メインメニューにもどる";"ಮುಖ್ಯ ಮೆನುಗೆ ಹಿಂತಿರುಗು";"Басты мәзірге қайту";"ត្រឡប់ទៅម៉ឺនុយមេ";"메인 메뉴로";"Natrag na glavni izbornik";"ກັບເມນູຫຼັກ";"Atpakaļ uz galveno izvēlni";"Grįžti į pagrindinį meniu";"Назад во главното мени";"Kembali ke menu utama";"പ്രധാന മെനുവിലേക്ക്";"मुख्य मेनूवर परत";"Үндсэн цэс рүү буцах";"मुख्य मेनुमा फर्क";"Tilbake til hovedmenyen";"Назад до меню";"ମୁଖ୍ୟ ମେନୁକୁ ଫେର";"باش تىزىملىككە قايت";"Asosiy menyuga qaytish";"بازگشت به منوی اصلی";"Wróć do menu głównego";"Voltar ao menu principal";"ਮੁੱਖ ਮੀਨੂ ਵੱਲ";"Înapoi la meniul principal";"В главное меню";"Nazad na glavni meni";"ප්‍රධාන මෙනුවට ආපසු";"Späť do hlavného menu";"Nazaj v glavni meni";"Volver al menú principal";"Rudi kwenye menyu kuu";"முதன்மை மெனுவுக்குத் திரும்பு";"ప్రధాన మెనూకు వెళ్లు";"กลับเมนูหลัก";"གཙོ་ངོས་སུ་ཕྱིར་ལོག";"Zpět do hlavní nabídky";"Ana menüye dön";"مرکزی مینو پر واپس";"Về menu chính";"Nôl i'r brif ddewislen";"У галоўнае меню";"Buyela kumenyu enkulu";"Till huvudmenyn"
"game.intro.continue";"";"The level-intro card. Titles are set in a large heavy face and shrink rather than wrap, so short is better. Aim for 20 characters or fewer.";"Continue";"Verdergaan";"Speel verder";"Vazhdo";"መጫወትህን ቀጥል";"متابعة اللعب";"Շարունակել";"আগবাঢ়া";"Davam et";"Jarraitu";"চালিয়ে যাও";"ဆက်ကစား";"Nastavi";"Продължи";"Continua";"继续";"Fortsæt";"Weiterspielen";"Jätka";"Halt fram";"Jatka";"Continuer";"Continuar";"გაგრძელება";"Συνέχεια";"આગળ રમો";"המשך";"आगे खेलें";"Folytatás";"Lean ar aghaidh";"Halda áfram";"Lanjut bermain";"Continua";"つづきから";"ಮುಂದುವರಿಸು";"Жалғастыру";"បន្តលេង";"계속하기";"Nastavi";"ຫຼິ້ນຕໍ່";"Turpināt";"Tęsti";"Продолжи";"Teruskan";"തുടർന്ന് കളിക്കൂ";"पुढे खेळ";"Үргэлжлүүлэн тоглох";"जारी राख";"Fortsett";"Продовжити";"ଆଗକୁ ଖେଳ";"داۋاملاشتۇر";"Davom et";"ادامه";"Graj dalej";"Continuar";"ਅੱਗੇ ਖੇਡੋ";"Continuă";"Продолжить";"Nastavi";"දිගටම ක්‍රීඩා කරන්න";"Pokračovať";"Nadaljuj";"Continuar";"Endelea";"தொடர்ந்து ஆடு";"కొనసాగించు";"เล่นต่อ";"མུ་མཐུད་རྩེ";"Pokračovat";"Devam et";"جاری رکھیں";"Chơi tiếp";"Parhau";"Працягнуць";"Qhubeka";"Fortsätt"
"game.intro.progressPaused";"";"The level-intro card. Titles are set in a large heavy face and shrink rather than wrap, so short is better. Aim for 36 characters or fewer.";"Your progress is paused.";"Je voortgang is gepauzeerd.";"Jou vordering is gepouseer.";"Progresi është ndalur.";"እድገትህ ቆሟል።";"توقف تقدمك مؤقتًا.";"Առաջընթացը դադարեցված է։";"তোমাৰ অগ্ৰগতি ৰৈ আছে।";"İrəliləyiş dayandırılıb.";"Zure aurrerapena pausatuta dago.";"তোমার অগ্রগতি থেমে আছে।";"တိုးတက်မှုကို ခဏရပ်ထားတယ်။";"Napredak je pauziran.";"Напредъкът е на пауза.";"El teu progrés està pausat.";"进度已暂停。";"Din fremgang er sat på pause.";"Dein Fortschritt pausiert.";"Sinu edenemine on pausil.";"Framstigið er steðgað.";"Edistymisesi on tauolla.";"Progression en pause.";"O teu progreso está en pausa.";"შენი პროგრესი შეჩერებულია.";"Η πρόοδός σου σταμάτησε.";"તમારી પ્રગતિ થોભી છે.";"ההתקדמות שלך מושהית.";"प्रगति रुकी है।";"A haladás szünetel.";"Tá do dhul chun cinn ar sos.";"Framvindan er í bið.";"Progresmu dijeda.";"Progressi in pausa.";"つづきは一時停止中。";"ನಿನ್ನ ಪ್ರಗತಿ ನಿಂತಿದೆ.";"Ойының кідіртілді.";"ការលេងបានផ្អាក។";"진행 일시정지";"Napredak je pauziran.";"ຄວາມຄືບໜ້າຖືກຢຸດໄວ້.";"Tavs progress ir apturēts.";"Tavo pažanga pristabdyta.";"Напредокот е паузиран.";"Kemajuan dijeda.";"നിന്റെ പുരോഗതി നിർത്തിവച്ചു.";"तुझी प्रगती थांबली आहे.";"Ахиц түр зогссон.";"तिम्रो प्रगति रोकिएको छ।";"Fremgangen er satt på pause.";"Прогрес призупинено.";"ତୁମର ପ୍ରଗତି ବିରତିରେ ଅଛି।";"ئىلگىرىلىشىڭ توختىتىلدى.";"O‘yining to‘xtab turibdi.";"پیشرفتت متوقف شده.";"Postęp wstrzymany.";"O teu progresso está em pausa.";"ਤੁਹਾਡੀ ਤਰੱਕੀ ਰੁਕੀ ਹੋਈ ਹੈ।";"Progresul e în pauză.";"Игра на паузе.";"Napredak je pauziran.";"ඔයාගේ ප්‍රගතිය නවත්තලා.";"Tvoj postup je pozastavený.";"Napredek je začasno ustavljen.";"Tu progreso está en pausa.";"Maendeleo yamesitishwa.";"உங்கள் முன்னேற்றம் நிறுத்தப்பட்டுள்ளது.";"నీ పురోగతి ఆగింది.";"พักความคืบหน้าไว้";"ཁྱེད་ཀྱི་མདུན་སྐྱོད་མཚམས་བཞག་ཡོད།";"Postup je pozastavený.";"İlerlemen duraklatıldı.";"آپ کی پیش رفت رکی ہوئی ہے۔";"Tiến độ đang tạm dừng.";"Mae dy gynnydd wedi’i oedi.";"Прагрэс прыпынены.";"Inqubekela phambili imisiwe.";"Dina framsteg är pausade."
"game.intro.start";"";"The level-intro card. Titles are set in a large heavy face and shrink rather than wrap, so short is better. Aim for 20 characters or fewer.";"Start";"Starten";"Begin vlak";"Fillo nivelin";"ደረጃውን ጀምር";"ابدأ المستوى";"Սկսել մակարդակը";"লেভেল আৰম্ভ";"Səviyyəyə başla";"Hasi maila";"লেভেল শুরু";"အဆင့်စရန်";"Pokreni nivo";"Начало на нивото";"Comença el nivell";"开始关卡";"Start bane";"Level starten";"Alusta taset";"Byrja stig";"Aloita taso";"Commencer le niveau";"Comezar nivel";"დონის დაწყება";"Έναρξη επιπέδου";"લેવલ શરૂ કરો";"התחלת שלב";"स्तर शुरू करें";"Szint indítása";"Tosaigh an leibhéal";"Byrja borð";"Mulai level";"Inizia il livello";"レベルをはじめる";"ಹಂತ ಆರಂಭಿಸು";"Деңгейді бастау";"ចាប់ផ្តើមកម្រិត";"레벨 시작";"Pokreni razinu";"ເລີ່ມດ່ານ";"Sākt līmeni";"Pradėti lygį";"Почни ниво";"Mula tahap";"ലെവൽ തുടങ്ങൂ";"स्तर सुरू कर";"Түвшинг эхлүүлэх";"लेभल सुरु";"Start nivå";"Почати рівень";"ଲେଭେଲ୍ ଆରମ୍ଭ";"دەرىجىنى باشلا";"Bosqichni boshlash";"شروع مرحله";"Zacznij poziom";"Começar nível";"ਲੈਵਲ ਸ਼ੁਰੂ ਕਰੋ";"Începe nivelul";"Начать уровень";"Pokreni nivo";"මට්ටම අරඹන්න";"Spustiť úroveň";"Začni stopnjo";"Empezar nivel";"Anza kiwango";"நிலையைத் தொடங்கு";"లెవల్ ప్రారంభించు";"เริ่มด่าน";"རིམ་པ་འགོ་འཛུགས";"Spustit úroveň";"Seviyeyi başlat";"لیول شروع کریں";"Bắt đầu màn";"Dechrau'r lefel";"Пачаць узровень";"Qala ileveli";"Starta nivån"
"game.intro.startTutorial";"";"The level-intro card. Titles are set in a large heavy face and shrink rather than wrap, so short is better. Aim for 20 characters or fewer.";"Start tutorial";"Start tutorial";"Begin tutoriaal";"Fillo udhëzimin";"መማሪያውን ጀምር";"ابدأ التدريب";"Սկսել ուսուցումը";"টিউটোৰিয়েল আৰম্ভ";"Təlimə başla";"Hasi tutoriala";"টিউটোরিয়াল শুরু";"သင်ခန်းစာ စမယ်";"Pokreni uputstvo";"Започни урока";"Inicia el tutorial";"开始教程";"Start guide";"Tutorial starten";"Alusta õpetust";"Byrja vegleiðing";"Aloita opastus";"Lancer le tuto";"Comezar tutorial";"გაკვეთილის დაწყება";"Ξεκίνα οδηγό";"ટ્યુટોરિયલ શરૂ કરો";"להתחיל הדרכה";"ट्यूटोरियल शुरू करो";"Oktató indítása";"Tosaigh an treoir";"Byrja kennslu";"Mulai tutorial";"Avvia tutorial";"チュートリアル開始";"ಟ್ಯುಟೋರಿಯಲ್ ಆರಂಭಿಸು";"Үйретуді бастау";"ចាប់ផ្តើមណែនាំ";"튜토리얼 시작";"Pokreni upute";"ເລີ່ມສອນ";"Sākt pamācību";"Pradėti pamokėlę";"Почни упатство";"Mula tutorial";"ട്യൂട്ടോറിയൽ തുടങ്ങൂ";"ट्युटोरियल सुरू करा";"Заавар эхлүүлэх";"ट्युटोरियल सुरु";"Start veiledning";"Почати навчання";"ଟ୍ୟୁଟୋରିଆଲ୍ ଆରମ୍ଭ";"قوللانمىنى باشلا";"O‘rgatishni boshlash";"شروع آموزش";"Start samouczka";"Iniciar tutorial";"ਟਿਊਟੋਰਿਅਲ ਸ਼ੁਰੂ ਕਰੋ";"Începe tutorialul";"Начать обучение";"Pokreni uputstvo";"පුහුණුව අරඹන්න";"Spustiť návod";"Začni vadnico";"Empezar tutorial";"Anza mafunzo";"பயிற்சி தொடங்கு";"ట్యుటోరియల్ మొదలు";"เริ่มสอนเล่น";"སློབ་ཁྲིད་འགོ་འཛུགས";"Spustit návod";"Eğitimi başlat";"ٹیوٹوریل شروع کریں";"Bắt đầu hướng dẫn";"Dechrau’r tiwtorial";"Пачаць навучанне";"Qala ukufundiswa";"Starta guide"
"game.streakBoost.title";"";"Shown over the game board while playing. Aim for 22 characters or fewer.";"Double points!";"Dubbele punten!";"Dubbelpunte!";"Pikë dyfish!";"ድርብ ነጥብ!";"نقاط مضاعفة!";"Կրկնակի միավորներ!";"দুগুণ পইণ্ট!";"İkiqat xal!";"Puntu bikoitzak!";"দ্বিগুণ পয়েন্ট!";"အမှတ်နှစ်ဆ!";"Dupli bodovi!";"Двойни точки!";"Punts dobles!";"双倍得分！";"Dobbelt point!";"Doppelte Punkte!";"Topeltpunktid!";"Tvístig!";"Tuplapisteet!";"Points doublés !";"Puntos dobres!";"ორმაგი ქულები!";"Διπλοί πόντοι!";"બમણા પોઇન્ટ!";"נקודות כפולות!";"दोगुने अंक!";"Dupla pont!";"Pointí dúbailte!";"Tvöföld stig!";"Poin ganda!";"Punti doppi!";"ポイント2倍！";"ಡಬಲ್ ಪಾಯಿಂಟ್‌ಗಳು!";"Екі есе ұпай!";"ពិន្ទុគុណពីរ!";"점수 2배!";"Dupli bodovi!";"ຄະແນນສອງເທົ່າ!";"Dubulti punkti!";"Dvigubi taškai!";"Двојни поени!";"Mata berganda!";"ഇരട്ടി പോയിന്റുകൾ!";"दुप्पट गुण!";"Давхар оноо!";"दोब्बर अंक!";"Doble poeng!";"Подвійні бали!";"ଦୁଇଗୁଣା ପଏଣ୍ଟ!";"قوش نومۇر!";"Ikki hissa ball!";"امتیاز دوبرابر!";"Podwójne punkty!";"Pontos a dobrar!";"ਦੁੱਗਣੇ ਅੰਕ!";"Puncte duble!";"Двойные очки!";"Dupli poeni!";"ලකුණු දෙගුණයි!";"Dvojité body!";"Dvojne točke!";"¡Puntos dobles!";"Pointi mara mbili!";"இரட்டை புள்ளிகள்!";"రెట్టింపు పాయింట్లు!";"คะแนนสองเท่า!";"སྐར་གྲངས་ཉིས་འགྱུར!";"Dvojnásobek bodů!";"Çifte puan!";"دگنے پوائنٹس!";"Gấp đôi điểm!";"Pwyntiau dwbl!";"Падвойныя балы!";"Amaphuzu aphindwe kabili!";"Dubbla poäng!"
"goal.period";"";"In the settings sheet. The info lines sit under a group and may wrap. Aim for 90 characters or fewer.";"Period";"Periode";"Doeltydperk";"Periudha e objektivit";"የግብ ጊዜ";"فترة الهدف";"Նպատակի շրջան";"লক্ষ্যৰ সময়";"Hədəf müddəti";"Helburu-epea";"লক্ষ্যের সময়কাল";"ပန်းတိုင်ကာလ";"Period cilja";"Период на целта";"Període de l’objectiu";"目标周期";"Målperiode";"Zielzeitraum";"Eesmärgi periood";"Málskeið";"Tavoitejakso";"Période de l’objectif";"Período do obxectivo";"მიზნის პერიოდი";"Περίοδος στόχου";"લક્ષ્ય સમયગાળો";"תקופת היעד";"लक्ष्य अवधि";"Cél időszaka";"Tréimhse sprice";"Marktímabil";"Periode target";"Periodo obiettivo";"目標の期間";"ಗುರಿಯ ಅವಧಿ";"Мақсат кезеңі";"រយៈពេលគោលដៅ";"목표 기간";"Razdoblje cilja";"ໄລຍະເປົ້າໝາຍ";"Mērķa periods";"Tikslo laikotarpis";"Период на целта";"Tempoh sasaran";"ലക്ഷ്യകാലം";"ध्येय कालावधी";"Зорилгын хугацаа";"लक्ष्य अवधि";"Målperiode";"Період цілі";"ଲକ୍ଷ୍ୟ ସମୟ";"نىشان مۇددىتى";"Maqsad davri";"بازهٔ هدف";"Okres celu";"Período da meta";"ਟੀਚੇ ਦੀ ਮਿਆਦ";"Perioada obiectivului";"Период цели";"Period cilja";"ඉලක්ක කාලය";"Obdobie cieľa";"Obdobje cilja";"Periodo del objetivo";"Kipindi cha lengo";"இலக்கு காலம்";"లక్ష్య కాలం";"ช่วงเป้าหมาย";"དམིགས་ཡུན";"Období cíle";"Hedef dönemi";"ہدف کی مدت";"Khoảng thời gian";"Cyfnod y nod";"Перыяд мэты";"Isikhathi somgomo";"Målperiod"
"goal.promptDaily";"";"In the settings sheet. The info lines sit under a group and may wrap. Aim for 90 characters or fewer.";"How many minutes a day would you like to play?";"Hoeveel minuten per dag wil je spelen?";"Hoeveel minute wil jy elke dag speel?";"Sa minuta dëshiron të luash çdo ditë?";"በቀን ስንት ደቂቃ መጫወት ትፈልጋለህ?";"كم دقيقة تريد أن تلعب يوميًا؟";"Օրական քանի՞ րոպե ես ուզում խաղալ։";"দিনে কিমান মিনিট খেলিব খোজা?";"Gündə neçə dəqiqə oynamaq istəyirsən?";"Zenbat minutuz jokatu nahi duzu egunean?";"প্রতিদিন কত মিনিট খেলতে চাও?";"တစ်နေ့ကို ဘယ်နှမိနစ် ကစားချင်လဲ။";"Koliko minuta želiš igrati dnevno?";"Колко минути искаш да играеш на ден?";"Quants minuts vols jugar cada dia?";"你每天想玩几分钟？";"Hvor mange minutter vil du spille om dagen?";"Wie viele Minuten möchtest du täglich spielen?";"Mitu minutit tahad päevas mängida?";"Hvussu nógvar minuttir vilt tú spæla um dagin?";"Kuinka monta minuuttia haluat pelata päivässä?";"Combien de minutes veux-tu jouer par jour ?";"Cantos minutos queres xogar ao día?";"დღეში რამდენი წუთი გინდა ითამაშო?";"Πόσα λεπτά θέλεις να παίζεις κάθε μέρα;";"તમે દરરોજ કેટલા મિનિટ રમવા માંગો છો?";"כמה דקות תרצו לשחק בכל יום?";"हर दिन कितने मिनट खेलना चाहते हो?";"Hány percet szeretnél játszani naponta?";"Cé mhéad nóiméad ar mhaith leat imirt gach lá?";"Hve margar mínútur viltu spila á dag?";"Berapa menit kamu ingin bermain setiap hari?";"Quanti minuti vuoi giocare al giorno?";"1日に何分あそびたい？";"ದಿನಕ್ಕೆ ಎಷ್ಟು ನಿಮಿಷ ಆಡಲು ಬಯಸುತ್ತೀಯ?";"Күніне неше минут ойнағың келеді?";"អ្នកចង់លេងប៉ុន្មាននាទីក្នុងមួយថ្ងៃ?";"하루에 몇 분 동안 놀고 싶나요?";"Koliko minuta želiš igrati svaki dan?";"ຢາກຫຼິ້ນມື້ລະຈັກນາທີ?";"Cik minūtes dienā vēlies spēlēt?";"Kiek minučių per dieną nori žaisti?";"Колку минути сакаш да играш дневно?";"Berapa minit kamu mahu bermain setiap hari?";"ദിവസം എത്ര മിനിറ്റ് കളിക്കണം?";"दररोज किती मिनिटे खेळायचे?";"Өдөрт хэдэн минут тоглох вэ?";"दिनमा कति मिनेट खेल्न चाहन्छौ?";"Hvor mange minutter vil du spille hver dag?";"Скільки хвилин на день ти хочеш грати?";"ଦିନକୁ କେତେ ମିନିଟ୍ ଖେଳିବାକୁ ଚାହୁଁଛ?";"كۈنىگە قانچە مىنۇت ئوينىماقچىسەن؟";"Kuniga necha daqiqa o‘ynashni xohlaysan?";"روزانه چند دقیقه می‌خواهی بازی کنی؟";"Ile minut dziennie chcesz grać?";"Quantos minutos queres jogar por dia?";"ਤੁਸੀਂ ਹਰ ਰੋਜ਼ ਕਿੰਨੇ ਮਿੰਟ ਖੇਡਣਾ ਚਾਹੁੰਦੇ ਹੋ?";"Câte minute vrei să te joci pe zi?";"Сколько минут в день ты хочешь играть?";"Koliko minuta želiš da igraš dnevno?";"දිනකට මිනිත්තු කීයක් ක්‍රීඩා කරන්නද?";"Koľko minút chceš hrať denne?";"Koliko minut želiš igrati na dan?";"¿Cuántos minutos quieres jugar al día?";"Unataka kucheza dakika ngapi kwa siku?";"ஒரு நாளில் எத்தனை நிமிடங்கள் விளையாட விரும்புகிறாய்?";"రోజుకు ఎన్ని నిమిషాలు ఆడాలనుకుంటున్నావు?";"อยากเล่นวันละกี่นาที?";"ཉིན་རེར་སྐར་མ་ག་ཚོད་རྩེ་འདོད་དམ།";"Kolik minut chceš hrát každý den?";"Günde kaç dakika oynamak istiyorsun?";"روز کتنے منٹ کھیلنا چاہتے ہیں؟";"Bạn muốn chơi bao nhiêu phút mỗi ngày?";"Sawl munud wyt ti eisiau chwarae bob dydd?";"Колькі хвілін ты хочаш гуляць штодня?";"Ufuna ukudlala imizuzu emingaki ngosuku?";"Hur många minuter vill du spela per dag?"
"goal.promptWeekly";"";"In the settings sheet. The info lines sit under a group and may wrap. Aim for 90 characters or fewer.";"How many minutes a week would you like to play?";"Hoeveel minuten per week wil je spelen?";"Hoeveel minute wil jy elke week speel?";"Sa minuta dëshiron të luash çdo javë?";"በሳምንት ስንት ደቂቃ መጫወት ትፈልጋለህ?";"كم دقيقة تريد أن تلعب أسبوعيًا؟";"Շաբաթական քանի՞ րոպե ես ուզում խաղալ։";"সপ্তাহত কিমান মিনিট খেলিব খোজা?";"Həftədə neçə dəqiqə oynamaq istəyirsən?";"Zenbat minutuz jokatu nahi duzu astean?";"প্রতি সপ্তাহে কত মিনিট খেলতে চাও?";"တစ်ပတ်ကို ဘယ်နှမိနစ် ကစားချင်လဲ။";"Koliko minuta želiš igrati sedmično?";"Колко минути искаш да играеш на седмица?";"Quants minuts vols jugar cada setmana?";"你每周想玩几分钟？";"Hvor mange minutter vil du spille om ugen?";"Wie viele Minuten möchtest du pro Woche spielen?";"Mitu minutit tahad nädalas mängida?";"Hvussu nógvar minuttir vilt tú spæla um vikuna?";"Kuinka monta minuuttia haluat pelata viikossa?";"Combien de minutes veux-tu jouer par semaine ?";"Cantos minutos queres xogar á semana?";"კვირაში რამდენი წუთი გინდა ითამაშო?";"Πόσα λεπτά θέλεις να παίζεις κάθε εβδομάδα;";"તમે દર અઠવાડિયે કેટલા મિનિટ રમવા માંગો છો?";"כמה דקות תרצו לשחק בכל שבוע?";"हर हफ्ते कितने मिनट खेलना चाहते हो?";"Hány percet szeretnél játszani hetente?";"Cé mhéad nóiméad ar mhaith leat imirt gach seachtain?";"Hve margar mínútur viltu spila á viku?";"Berapa menit kamu ingin bermain setiap minggu?";"Quanti minuti vuoi giocare alla settimana?";"1週間に何分あそびたい？";"ವಾರಕ್ಕೆ ಎಷ್ಟು ನಿಮಿಷ ಆಡಲು ಬಯಸುತ್ತೀಯ?";"Аптасына неше минут ойнағың келеді?";"អ្នកចង់លេងប៉ុន្មាននាទីក្នុងមួយសប្ដាហ៍?";"일주일에 몇 분 동안 놀고 싶나요?";"Koliko minuta želiš igrati svaki tjedan?";"ຢາກຫຼິ້ນອາທິດລະຈັກນາທີ?";"Cik minūtes nedēļā vēlies spēlēt?";"Kiek minučių per savaitę nori žaisti?";"Колку минути сакаш да играш неделно?";"Berapa minit kamu mahu bermain setiap minggu?";"ആഴ്ചയിൽ എത്ര മിനിറ്റ് കളിക്കണം?";"दर आठवड्याला किती मिनिटे खेळायचे?";"Долоо хоногт хэдэн минут тоглох вэ?";"हप्तामा कति मिनेट खेल्न चाहन्छौ?";"Hvor mange minutter vil du spille hver uke?";"Скільки хвилин на тиждень ти хочеш грати?";"ସପ୍ତାହକୁ କେତେ ମିନିଟ୍ ଖେଳିବାକୁ ଚାହୁଁଛ?";"ھەپتىگە قانچە مىنۇت ئوينىماقچىسەن؟";"Haftasiga necha daqiqa o‘ynashni xohlaysan?";"هفته‌ای چند دقیقه می‌خواهی بازی کنی؟";"Ile minut tygodniowo chcesz grać?";"Quantos minutos queres jogar por semana?";"ਤੁਸੀਂ ਹਰ ਹਫ਼ਤੇ ਕਿੰਨੇ ਮਿੰਟ ਖੇਡਣਾ ਚਾਹੁੰਦੇ ਹੋ?";"Câte minute vrei să te joci pe săptămână?";"Сколько минут в неделю ты хочешь играть?";"Koliko minuta želiš da igraš nedeljno?";"සතියකට මිනිත්තු කීයක් ක්‍රීඩා කරන්නද?";"Koľko minút chceš hrať týždenne?";"Koliko minut želiš igrati na teden?";"¿Cuántos minutos quieres jugar a la semana?";"Unataka kucheza dakika ngapi kwa wiki?";"ஒரு வாரத்தில் எத்தனை நிமிடங்கள் விளையாட விரும்புகிறாய்?";"వారానికి ఎన్ని నిమిషాలు ఆడాలనుకుంటున్నావు?";"อยากเล่นสัปดาห์ละกี่นาที?";"བདུན་རེར་སྐར་མ་ག་ཚོད་རྩེ་འདོད་དམ།";"Kolik minut chceš hrát každý týden?";"Haftada kaç dakika oynamak istiyorsun?";"ہفتے میں کتنے منٹ کھیلنا چاہتے ہیں؟";"Bạn muốn chơi bao nhiêu phút mỗi tuần?";"Sawl munud wyt ti eisiau chwarae bob wythnos?";"Колькі хвілін ты хочаш гуляць штотыдзень?";"Ufuna ukudlala imizuzu emingaki ngesonto?";"Hur många minuter vill du spela per vecka?"
